COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
INQ-193236,Trade Waste,SALIKEGNE EXPRESS INC.,BIC-4446,11/17/2016,Trade Waste,Active,SELF-INITIATED,Unsubstantiated,Closed,0.0,Inquiry,Criminal - All,,,,,,SALIKEGNE EXPRESS INC.,701 JEFFERSON AVE  SUITE #2,BROOKLYN,NY,11221,,,,,,,True,False,In Person,2024-02-21,,,,,,,,,
2009-00997,,,,,Trade Waste,,PHONE,Resolved,Closed,,Complaint,FOIL - All,,,,,,N/A,,,,10017-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192349,Trade Waste,"FIVE STAR CARTING, INC.",BIC-1719,08/26/2015,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste,556 Tompkins Avenue,Staten Island,NY,10305,Staten Island,"FIVE STAR CARTING, INC.",5835 47TH STREET,MASPETH,NY,11378-,,,,,,,False,True,,2024-02-21,STATEN IS,40.612518,-74.071264,1,49,36,5146753,5029760008,Stapleton-Rosebank
COMP-195232,,KWN CARTING LLC,BIC-495410,12/09/2019,Trade Waste,Active,E-Mail,Investigation Initiated,Closed,14.0,Complaint,Other - All,,,,,,KWN CARTING LLC,"61-43 186TH STREET, SUITE 585",FRESH MEADOWS,NY,11365,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2006-00892,,,TWC-1157,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Containers-Unremoved - Trade Waste,,,NY,,,T. I. A. OF NEW YORK INC.,1842 NEWBRIDGE ROAD5,NORTH BELLMORE,RENEWAL PENDING,,(718) 474-0600,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191350,,,,11/14/2014,Trade Waste,,E-Mail,Unsubstantiated,Closed,5.0,Complaint,Cardboard-Theft - Trade Waste,Multiple locations,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-196984,,,,08/05/2023,Trade Waste,,WEB-MAIL,Referred to BIC Policy,Closed,16.0,Complaint,Unsafe Driving - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01246,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Containers-Unremoved - Trade Waste;Quality of Life-Spillage - Trade Waste,,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194105,,,,05/30/2018,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00240,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01414,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Information - All;Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194525,,,,11/29/2018,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,5.0,Complaint,Unlicensed Landscaper - Trade Waste,70th Ave and 71st Ave,Forest Hills,NY,18336,Queens,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2013-00645,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00080,,,TWC-93,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Cardboard-Theft - Trade Waste,"16th st, 40th st, and 45th st",UNKNOWN,,,NYC,GAETA INTERIOR DEMOLITION INC.,25 VAN STREET,STATEN ISLAND,RENEWAL APPROVED,,(718) 720-7220,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00043,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190701,Trade Waste,"MIDLAND CARTING, INC.",BIC-115,06/13/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,4.0,Complaint,Containers-Unremoved - Trade Waste,,,,,,MIDLAND CARTING INC.,PO BOX 303,MASSAPEQUA PARK,NY,11762-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-192280,Trade Waste,,,08/06/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,5.0,Complaint,Unlicensed Carter - Trade Waste;Recycling - Trade Waste;Decals - Trade Waste;Licensing - All,,,,,,Terracycle,,,,,(609) 393-4252,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00614,,AMRO CARTING CORP.,TWC-61,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Contracts - Trade Waste;Service - All,630 9th Ave.,NY,NY,10036-,NYC,AMRO CARTING CORP.,337 COSTER STREET,BRONX,RENEWAL APPROVED,10036-,(718) 542-3236,,,,,,False,False,,2024-02-21,MANHATTAN,40.760038,-73.991449,4,3,121,1024982,1010350001,Clinton
2010-01358,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste;Other - All,NW Corner of 69 Lane&Grand Ave,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01334,,JEM SANITATION CORP.,TWC-218,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,384 Columbus Ave.,,NY,,NYC,JEM SANITATION CORP.,800 PAGE AVENUE,LYNHURST,RENEWAL PENDING,,(212) 226-3442,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00589,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00739,,,TWC-0,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,99-27 st.,NYC,NY,11232-,Brooklyn,Minority Brothers,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191143,,,,09/23/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-193089,,,,08/16/2016,Trade Waste,,MAIL,Referred back to 311,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Letter,2024-02-21,,,,,,,,,
COMP-195293,,,,01/29/2020,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,8.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2012-01084,,ROYAL WASTE SERVICES INC.,TWC-1240,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Information - All;Quality of Life-Noise - Trade Waste,,,,,,ROYAL WASTE SERVICES INC.,187 40 HOLLIS AVENUE,HOLLIS,RENEWAL PENDING,,(718) 468-8679,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192410,Market,AMERICA'S BEST CORP.,HPP-178,09/10/2015,Trade Waste,Active,WEB-MAIL,Resolved,Closed,1.0,Inquiry,Information - All;Licensing - All,,,,,,AMERICA'S BEST CORP.,"50 WEST 72ND STREET, APT 801",NEW YORK,NY,10023,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-191611,,,,02/05/2015,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-00007,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,Bedford Ave. (between Kings Highway and Ave. P),nyc,NY,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00534,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00310,,CASTLE SANITATION CORPORATION,TWC-1871,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,NYC,CASTLE SANITATION CORP,66-00 LONG ISLAND EXPRESSWAY,MASPETH,RENEWAL PENDING,10012-,(718) 424-0300,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00768,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00281,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00177,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,Corner 79st. (37 Ave.),NYC,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00362,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,,3301 Atlantic Avenue,Brooklyn,,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01899,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01301,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-193782,,,,12/08/2017,Trade Waste,,311/PHONE - 9278,Resolved,Closed,3.0,Inquiry,Decals - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-01295,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,,Complaint,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194171,Trade Waste,CENTURY WASTE SERVICES L.L.C.,BIC-1323,07/06/2018,Trade Waste,Active,E-Mail,Violation Written,Closed,62.0,Complaint,Recycling - Trade Waste,24 Reed Street,Brooklyn,NY,11231,Brooklyn,CENTURY WASTE SERVICES L.L.C.,623 DOWD AVENUE,ELIZABETH,NJ,07201-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.675183,-74.016767,6,38,53,3414140,3006100014,Carroll Gardens-Columbia Street-Red Hook
2010-00094,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,"167, 169, 171 Mulberry St.",nyc,NY,,NYC,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL APPROVED,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195049,,,,08/13/2019,Trade Waste,,311/PHONE - 9278,Resolved,Closed,10.0,Complaint,Quality of Life-Noise - Trade Waste,1278 E34th Street,Brooklyn,NY,11210,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.624191,-73.942542,18,45,744,3208867,3076330051,Flatlands
2007-00605,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196378,Trade Waste,CLASSIC RECYCLING NEW YORK CORP.,BIC-249,03/15/2022,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Other - All,,,,,,CLASSIC RECYCLING NEW YORK CORP.,409 RIVER ROAD SUITE #1,CLIFTON,NJ,07014-,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01269,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00393,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All;Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00046,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00480,,TRI STATE DISMANTLING CORP.,TWC-596,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,745 7th Ave.,NY,NY,10019-,NYC,TRI STATE DISMANTLING CORP.,207 DUPONT STREET,BROOKLYN,RENEWAL APPROVED,10019-,(718) 349-2552,,,,,,False,False,,2024-02-21,MANHATTAN,40.760605,-73.983612,5,4,125,1084667,1010020001,Midtown-Midtown South
COMP-192075,,,,06/22/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,11.0,Complaint,Other - All,275 7th  AVENUE,new york,ny,10001,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.745743,-73.994435,4,3,91,1015000,1008010001,Hudson Yards-Chelsea-Flatiron-Union Square
2010-00788,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Quality of Life-Spillage - Trade Waste,89th St (& Ridge Blvd),nyc,NY,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00711,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00913,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195560,,,,07/27/2020,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-191719,,,,03/10/2015,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01999,,,TWC-0,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,Various,nyc,NY,,,Fibertech,,,UNLICENSED,,718-417-1415,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190170,,,,02/14/2014,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,4.0,Complaint,Misinformation - All;Other - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195266,,,,01/06/2020,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Other - All,20 Nelson Avenue,Staten Island,NY,10314,Staten Island,,,,,,,,,,,,True,False,Phone Call,2024-02-21,STATEN IS,40.549456,-74.150723,3,51,15601,5066252,5052150026,Great Kills
2007-00907,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01360,,"RESTAURANT TECHNOLOGIES, INC.",TWC-2693,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Information - All,,,NY,,,"RESTAURANT TECHNOLOGIES, INC.",3711 KENNEBEC DR. SUITE 100,EAGAN,TEMPORARY,,(651) 796-1600,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01308,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00533,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00521,,"ENVIRONMENTAL ENERGY RECYCLING CORP., LLC",TWC-2005,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Harassment - All,,,,,,"ENVIRONMENTAL ENERGY RECYCLING CORP., LLC",16 PINEWOOD LANE,WARREN,RENEWAL APPROVED,,(888) 473-2735,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00987,,,TWC-0,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste,,,,,,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193687,Trade Waste,CROWN WASTE CORP,BIC-311,10/11/2017,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Contracts - Trade Waste;Harassment - All,53 Irving Place,Manhattan,NY,10004,Manhattan,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.736037,-73.987284,5,2,50,1078732,1008730015,Gramercy
INQ-190649,,,,06/03/2014,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,2.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,False,True,Phone Call,2024-02-21,,,,,,,,,
INQ-189672,,,,11/04/2013,Trade Waste,,MAIL,Referred to Another Agency,Closed,2.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191094,Trade Waste,MR. T CARTING CORP.,BIC-173,09/10/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Service - All,593 Vanderbilt Ave,Brooklyn,NY,11238,Brooklyn,MR. T CARTING CORP.,73-10 EDSALL AVENUE,GLENDALE,NY,11385,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.679802,-73.968082,8,35,203,3027902,3011380006,Prospect Heights
COMP-194314,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,09/05/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Quality of Life-Spillage - Trade Waste,10709 71st Ave,Forest Hills,NY,11375,Queens,"WASTE CONNECTIONS OF NEW YORK, INC.","99 WOOD AVENUE SOUTH, SUITE 1001",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.720401,-73.844651,6,29,711,4077493,4032390023,Forest Hills
INQ-194943,Trade Waste;Transfer Station,FLAG CONTAINER SERVICES INC.,BIC-119 / TS-29,06/26/2019,Trade Waste,Active,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Other - All,,,,,,FLAG CONTAINER SERVICES INC.,11 FERRY STREET,STATEN ISLAND,NY,10302,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-01286,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192917,Trade Waste,CENTURY WASTE SERVICES L.L.C.,BIC-1323,05/27/2016,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,CENTURY WASTE SERVICES L.L.C.,623 DOWD AVENUE,ELIZABETH,NJ,07201-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-01552,,,TWC-0,,Trade Waste,,PHONE - OTHER,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,39th and 10 Long Island City,nyc,NY,,Queens,Mad Trucking,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194020,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,04/13/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,3.0,Complaint,Other - All,180 Madison Avenue,New York,NY,10016,Manhattan,IESI NY CORPORATION,"99 WOOD AVENUE SOUTH, SUITE 1001",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.747513,-73.983153,5,4,74,1017092,1008630067,Midtown-Midtown South
2011-00594,,T. I. A. OF NEW  YORK INC.,TWC-1157,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Containers-Theft - Trade Waste,967 Nostrand Ave.,nyc,NY,,Brooklyn,T. I. A. OF NEW  YORK INC.,1842 NEWBRIDGE ROAD5,NORTH BELLMORE,RENEWAL PENDING,,(718) 474-0600,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190824,,,,07/17/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195769,,,,12/17/2020,Trade Waste,,E-Mail,Violation Written,Closed,4.0,Complaint,Unlicensed Broker - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-194054,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,05/03/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,4.0,Complaint,Containers-Unremoved - Trade Waste,1920 E Gun Hill Road,Bronx,NY,10469,Bronx,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.862504,-73.831384,11,13,310,2053521,2045050009,Allerton-Pelham Gardens
COMP-195075,Trade Waste,FLASH RECYCLING CORPORATION,BIC-1258,08/22/2019,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Service - All,7401 17th Avenue,Brooklyn,NY,,,FLASH RECYCLING CORP,P. O. BOX 832,LIVINGSTON,NJ,07039-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-192990,,,,07/01/2016,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2008-00754,,,,,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00175,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190432,,,,04/10/2014,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,8.0,Complaint,Unlicensed Carter - Trade Waste,Multiple Locations,New York,NY,,Manhattan,,,,,,,,,,,,False,True,Phone Call,2024-02-21,,,,,,,,,
2008-00556,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00431,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Containers-Unremoved - Trade Waste,,,NY,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL EXTENSION,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01924,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,160-65 121 Ave.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191077,,,,09/04/2014,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-02437,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-189948,,,,12/30/2013,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All,1253 East 69th Street,New York,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00310,,,,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Information - All,310 W 75th St,,NY,10023,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,MANHATTAN,40.782088,-73.983863,7,6,163,1031012,1011840091,Upper West Side
2010-01353,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195952,,,,05/11/2021,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,6.0,Complaint,Other - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2012-00807,,TULLY ENVIRONMENTAL INC.,TWC-1272,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,TULLY ENVIRONMENTAL INC.,127-50 NORTHERN BLVD,FLUSHING,RENEWAL PENDING,,(718) 446-7000,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195976,,,,05/24/2021,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,3.0,Complaint,Disposal - All,370 Lewis Avenue,Brooklyn,NY,,Brooklyn,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-02344,,,TWC-NaN,,Trade Waste,,FAX,Resolved,Closed,,Complaint,FOIL - All,,,,,,N/A,,,,11414-,,,,,,,False,False,,2024-02-21,,,,,,,,,
